569555719885885441,negative,1.0,"@SouthwestAir - neveryamind I paid $450 for a flight. 250 for a new bag is easy for business class customers, right? http://t.co/vn3JJIa53O"
569555395339018241,negative,1.0,"@SouthwestAir - our baggage motto: we don't cover that. Small tear, ripped seam, snow soaked, busted zippers - SORRY http://t.co/LHwFBKFynI"
569555199062224897,negative,1.0,"@SouthwestAir Totally ruined my birthday weekend by Cancelled Flighting my flights for no reason and offer no points, drink, transport. #nolove #cali"
569554826616381440,negative,1.0,@SouthwestAir What's happened to your customer service? 2 Cancelled Flightled flights in 2 days &amp; an uninformed and unapologetic staff. #nolove #cali
569554065606074368,neutral,0.3498,"@SouthwestAir check the head of the plane, there has been dynamite placed onto it"
569552971362639873,negative,1.0,@SouthwestAir Maybe if you comped those that quietly accepted delays or Cancelled Flightations instead of the irate you'd have less issues #justsaying
569552378812194816,neutral,0.6926,@SouthwestAir For the past 2 yrs I earned A-list status thru a promo-fly 3 rnd trips in 2-3 months. How can I get that option again? #loyal
569551863260913664,negative,1.0,@SouthwestAir we didn't nothing was ruined just wet. Just frustrating when after traveling for 12 hours you can't change into clean clothes
569550487474712576,neutral,0.3441,@SouthwestAir yeah it happens. The PHX airport has extra long waits all spring long. Something locals know but tourist don't just FYI
569549686857736193,negative,1.0,"@SouthwestAir I tried for 5hrs to contact SW! Twitter, fb, phone, email w/ no reply. 24hrs Late Flightr u respond, what could you do at this point?"
569548841361412096,neutral,1.0,@SouthwestAir Arkansas Gov. plans to sign Governor SB-202 that legalizes discrimination of LGBT.Can you lend your voice to a state boycott?
569546319666110464,neutral,0.6968,"@SouthwestAir if I am a rapid awards member, does my points apply after I have taken my round trip?"
569545575688830978,positive,1.0,"@SouthwestAir was in a line a mile long at sky harbor this morning. Your staff was courteous and expeditious.  Thank you. #onechildfourbags"
569543955622338560,negative,1.0,@SouthwestAir I have never had such awful customer service and conflicting service. Outrageous.
569542114234671104,positive,1.0,"@SouthwestAir Just realized I had the wrong departure date. Thanks for making changes easy!"
569541106112827393,neutral,1.0,"@SouthwestAir Also, will Southwest have any other specials like the one they are running now?"
569538524321419265,positive,1.0,@SouthwestAir last week I flew from DAL to LAX. You got us in almost an hour early. Thank You.
569534939642925058,neutral,1.0,@SouthwestAir will the Daytona 500 be available on free TV?
569531018643955712,neutral,1.0,@SouthwestAir flying flight 3130 tonight at 7:20 from PBI- I have boarding position C-42. Is it overbooked? Really don't want to be bumped!
569528523418775552,negative,1.0,@SouthwestAir no I wasn't. After over an hour was too frustrated and had to hang up.
569527176350969856,negative,1.0,"@SouthwestAir Thanks for the terrible service! Stranded in MDW for 2 days, &amp; now can't find confirmation for rebooked flight from MKE."
569526101669769217,negative,0.7087,@SouthwestAir fyi the link in your baggage incident email redirects to a 404 on mobile. The link auto changes on mobile. Desktop works fine.
569524284873424896,positive,1.0,@SouthwestAir I will say that your customer service has consistently been the very best!!!
